entity_text_1	entity_text_2	label
describes a computational model of word	model of word segmentation and presents	MODEL-FEATURE
limitations of statistical learning mechanisms that have	prominence in cognitive psychology and linguistics	USAGE
dictionary automatically. dictionary construction one machine	developing a machine translation system is dictionary	PART_WHOLE
build a dictionary using existing	using existing linguistic resources our algorithm	USAGE
resources our algorithm can be	to any language pairs but korean-to-japanese	USAGE
building a korean-to-japanese dictionary using english	as a pivot we automatic	USAGE
of the directionality of dictionaries	"directionality of dictionaries first, ""one-time"	MODEL-FEATURE
"we introduce ""one-time look up"" method using a"	"using a korean-to-english and a japanese-to-english dictionary second, ""overlapping"	USAGE
level of discourse structure that is	on identifying discourse connectives and their	USAGE
to identify gene and protein interactions in biomedical	interactions in biomedical text our complex	PART_WHOLE
first splitting complex sentences into simple	sentences into simple clausal structures made up	PART_WHOLE
then, tagging biological entities with the	help of biomedical and linguistic ontologies finally, complete	MODEL-FEATURE
combinations. our extraction system handles complex	system handles complex sentences and extracts	USAGE
and extracts multiple and nested interactions specified in	in a sentence experimental extraction	PART_WHOLE
that the intex system achieves better	achieves better performance without the	RESULT
derive the distance between concepts	distance between concepts from distributional	MODEL-FEATURE
use the categories in a	a published thesaurus as coarse-grained	PART_WHOLE
thesaurus as coarse-grained concepts allowing distance	in a concept-concept matrix roughly.01% the	PART_WHOLE
newly proposed concept-distance measures outperform traditional	measures outperform traditional distributional word-distance measures in the	COMPARE
(1) ranking word pairs in order	order of semantic distance and real-word	MODEL-FEATURE
all the wordnet-based measures only distributional	the best distributional concept-distance measures	COMPARE
use of labeled directed graph to represent	types of linguistic structures and nlp	MODEL-FEATURE
to view nlp tasks as graph	tasks as graph transformations we transformations	MODEL-FEATURE
the method: identification of non-local depenencies (using penn	depenencies (using penn treebank data ) and	MODEL-FEATURE
) and semantic role labeling (using proposition	labeling (using proposition bank data ).	MODEL-FEATURE
of ranking blog posts with respect	to their relevance for a	MODEL-FEATURE
to improve topical blog post retrieval we incorporate	we incorporate textual credibility indicators in the	USAGE
estimate these indicators and how	into a retrieval approach based on	USAGE
groups of credibility indicators significantly improve	significantly improve retrieval effectiveness ; the	RESULT
1) many words within song	words within song lyrics actually contribute	PART_WHOLE
problems, the sentiment vector space model (s-vsm) is proposed	to represent song lyric document the s-vsm	MODEL-FEATURE
that the s-vsm model outperforms the	outperforms the vsm model in the	COMPARE
identify the source language of medium-length	in the europarl corpus on the	MODEL-FEATURE
basis of frequency counts of word	counts of word n-grams (87.2%-96.7% accuracy	MODEL-FEATURE
n-grams (87.2%-96.7% accuracy depending on	depending on classification method ). the	RESULT
words in chinese	words in chinese text are not	PART_WHOLE
systems in mt the chinese	apply a chinese word segmenter trained from	USAGE
propose a bayesian semi-supervised chinese word segmentation model which uses	uses both monolingual and bilingual information to derive	USAGE
derive a segmentation suitable for	suitable for mt experiments state-of-the-art	USAGE
translations indeed, automatic evaluations need high-quality	evaluations need high-quality data that allow	USAGE
of using different-quality references on evaluation	references on evaluation surprisingly automatic	USAGE
of the automatic metrics used within	used within mt are also	USAGE
tool supports queries with an	number of wildcards it fillers	MODEL-FEATURE
to the unsupervised learning of parts	uses both morphological and syntactic information while model	USAGE
employed for unsupervised learning of pos	use only syntactic information the languages	USAGE
variety of languages in the	we consider morphology as well.	PART_WHOLE
many languages morphology provides better	category than word order we computational	COMPARE
present the computational model for pos	model for pos learning and bulgarian	USAGE
it to bulgarian a slavic	with relatively free word order and rich	MODEL-FEATURE
of the conll 2008 shared task that uses	uses a generative history-based latent variable model to predict	USAGE
most likely derivation of a	for both syntactic and semantic dependencies the model	MODEL-FEATURE
the submitted model yields 79.1%	yields 79.1% macro-average f1 performance for syntactic	RESULT
a larger model trained after	achieves 80.5% macro-average f1 87.6% syntactic	RESULT
complex as architectural modules were added	to support language functionalities such as	USAGE
these new modules in the	the overall architecture recent multi-paragraph	PART_WHOLE
in a pipelined nlg architecture the revision	to a revision component finally, multi-page	PART_WHOLE
above 97% accuracy for newspaper	newspaper text part of speech (pos) tagging might be	RESULT
allowing the parser to resolve	to resolve pos tag ambiguity does not	USAGE
however, for grammar formalisms which use	use more fine-grained grammatical categories for tag	USAGE
describe a multi-tagging approach which maintains	and efficient ccg parsing we multi-tagging	USAGE
maintaining some pos tag ambiguity in the	more accurate ccg supertagging	RESULT
structure and punctuation have been	helpful in discourse processing based corpus	USAGE
reports the discursive usage of 6	of 6 chinese punctuation marks in news	MODEL-FEATURE
semicolon the rhetorical patterns of these	compared against patterns around cue	COMPARE
that these chinese punctuation marks though cue	number than cue phrases are chinese	COMPARE
to develop algorithms which can	of this intractability	USAGE
an appropriate classifier word for a	for a noun in thai	MODEL-FEATURE
choice of classifier for a	a given concrete noun both speech	MODEL-FEATURE
a corresponding classifier of each	of each noun registration classifier	MODEL-FEATURE
registration of classifier for each	for each noun is limited	MODEL-FEATURE
propose a corpus-based method (biber,1993; nagao,1993;	problems in classifier assignment and semantic	USAGE
describes an unsupervised learning method for associative	method for associative relationships between verb phrases which q&a	USAGE
develop an unsupervised learning method that can	such an associative relationship which scenario	USAGE
uses an expectation-maximization (em) based word-clustering algorithm and japanese	method using japanese verb phrases	USAGE
problem. these models provide principled	than the preceding words such morphological	COMPARE
presents an entirely data-driven model selection procedure based on	based on genetic search which knowledge-based	USAGE
outperform both knowledge-based and random selection procedures on two	two different language modeling tasks ( arabic	USAGE
advocacy of analytical inverses for compositional	inverses for compositional syntax rules encourages the	MODEL-FEATURE
application of definite clause grammar techniques to the	of a parser returning montague	USAGE
trees a parser mdcc is presented	implements an augmented friedman - warren algorithm permitting post	USAGE
display the derivational history of corresponding	of corresponding reduced il formulae some montague's	MODEL-FEATURE
area of machine translation usually involves	an appropriate formalism an compositionality	USAGE
which the compositionality of translation	compositionality of translation is to	MODEL-FEATURE
introduce the anaphoric component of the	of the mimo formalism it translation	PART_WHOLE
compositionality in mimo the translation	mimo the translation of anaphoric	USAGE
compositional. the anaphoric component is used	to define linguistic phenomena such as	USAGE
a domain independent model is proposed	for the automated interpretation of nominal	USAGE
interpretation of nominal compounds in english	compounds in english this model	PART_WHOLE
from the morpho-syntactic and semantic characteristics of the	of the nominal constituents in predicative	MODEL-FEATURE
concerning the predicative information associated with	associated with nominals we generalizable	MODEL-FEATURE
line between generalizable semantic principles and domain-specific	principles and domain-specific semantic information we interpretation	COMPARE
to the interpretation of compounds	interpretation of compounds in real	MODEL-FEATURE
a novel entity-based representation of discourse	representation of discourse which is	MODEL-FEATURE
we view coherence assessment as a	as a ranking learning problem and show	MODEL-FEATURE
that the induced model achieves significantly	than a state-of-the-art coherence model	COMPARE
sentence boundary detection in speech	for enriching speech recognition output, making	USAGE
have developed hidden markov model (hmm) and maximum entropy (maxent) classifiers that integrate	and prosodic knowledge sources for detecting	USAGE
on both human transcriptions and speech	transcriptions and speech recognition output. in	COMPARE
general, our crf model yields	than the hmm and max-ent models on the	COMPARE
between the training and test data with respect	respect to topic this training	MODEL-FEATURE
experiments with training data labeled with	labeled with emoticons which domain	MODEL-FEATURE
using natural language processing we japanese	survey on japanese natural language processing studies that have	USAGE
using different co-occurrence similarities between terms	similarities between terms for separating	MODEL-FEATURE
for separating query terms that are	useful for retrieval from those	USAGE
is that useful terms tend to	to other query terms preliminary first-order	COMPARE
the hypothesis. term similarities could then	determining which query terms are useful	MODEL-FEATURE
tuning the weights of the	of the query terms	MODEL-FEATURE
formalizing the structure of communicative context in dialogue	context in dialogue interaction the dialogue	MODEL-FEATURE
previous invocations. memo-functions also facilitate	of the parse forest for lr(0)	USAGE
grammars ( grammars with regular	grammars with regular expressions at the	PART_WHOLE
of the lr-parser for normal	for normal cf grammars	USAGE
defines a generative probabilistic model of parse	model of parse trees which pcfg-la	MODEL-FEATURE
variables finegrained cfg rules are automatically	from a parsed corpus by training	USAGE
corpus by training a pcfg-la	using an em-algorithm because parsing	USAGE
because exact parsing with a	with a pcfg-la is np-hard	USAGE
automatically trained model gave a	gave a performance of 86.6%	RESULT
86.6% (f1, sentences < 40	< 40 words ), which	PART_WHOLE
of an unlexicalized pcfg parser created using	using extensive manual feature selection	USAGE
knowledge in feature-based relation extraction using svm	extraction using svm our phrase	USAGE
the base phrase chunking information is	of the performance improvement from syntactic	RESULT
demonstrate how semantic information such as	improve the performance evaluation on	RESULT
enables our system outperform previously	previously best-reported systems on the	COMPARE
a novel system for acquiring	system for acquiring adjectival subcategorization frames ( scfs	USAGE
information from english corpus data	from english corpus data the system	MODEL-FEATURE
data the system incorporates a	incorporates a decision-tree classifier for 30	PART_WHOLE
presence of grammatical relations ( grs	in the output of a	PART_WHOLE
to classify grs into frames	grs into frames hierarchically in	MODEL-FEATURE
that the system is able	types with 70% precision and 66%	RESULT
a new tool for linguistic	tool for linguistic annotation of scfs	USAGE
annotation of scfs in corpus	scfs in corpus data is also	PART_WHOLE
of obtaining training and test data for subcategorization	data for subcategorization acquisition	USAGE
input a raw text in french	text in french and produces	MODEL-FEATURE
of the pronoun il is tagged	with tag [ana] for anaphoric	MODEL-FEATURE
and the expletive occurrences of this	of this pronoun for precision	MODEL-FEATURE
antecedent. the precision rate for ilimp	rate for ilimp is 97,5%.	RESULT
detail. other tasks using the	using the method developed for	USAGE
use of ilimp in a	a modular syntactic analysis system	USAGE
systemic grammar has been	used for ai text generation work in	USAGE
generation where ai problem solving techniques are applied	an unadulterated systemic grammar this approach	USAGE
simple, efficient text generation firmly based	in a linguistic theory	USAGE
presents a critical discussion of the	in the evaluation of natural language systems we approaches	TOPIC
solving a task requiring data	task requiring data retrieval this approaches	USAGE
report a laboratory study using the	using the wizard of oz technique to identify	USAGE
to the structure of the	of the information source we natural	MODEL-FEATURE
semantic theories of natural	theories of natural language associate meanings	TOPIC
language associate meanings with utterances	meanings with utterances by providing	MODEL-FEATURE
by providing meanings for lexical	meanings for lexical items and rules	MODEL-FEATURE
determining the meaning of larger	of larger units given the	MODEL-FEATURE
well when constituent structure trees are used	to guide semantic composition more functional	USAGE
recently, the functional structure of lfg	structure of lfg has been	PART_WHOLE
provide the syntactic information necessary for	for constraining derivations of meaning	USAGE
contrast to compositional approaches we deductive	present a deductive approach to assembling	COMPARE
nature of information in the	in the functional structure our linear	PART_WHOLE
of the lfg requirements of	requirements of completeness and coherence	MODEL-FEATURE
anaphora in sentences which contain	which contain quantification over events within discourse	PART_WHOLE
1984) of quantified sentences introduced temporal	by a temporal connective gives truth-conditions	PART_WHOLE
when the temporal connective in the	in the subordinate clause is before	PART_WHOLE
of the proportion problem and given	from a generalized quantifier approach by reference	TOPIC
to this problem within drt	framework of drt we solution	USAGE
of this solution to additional	to additional temporal anaphora phenomena in quantified	USAGE
automatic, essentially domain-independent means of evaluating spoken language systems (sls) which combines	which combines software we have	USAGE
set of specifications for answer	"specifications for answer expressions (the """	MODEL-FEATURE
determines the syntax of answer	syntax of answer expressions the content	MODEL-FEATURE
them, the data to be	excluded from test corpora and procedures	PART_WHOLE
and the procedures used by	by the comparator though cas	USAGE
of the cas are particular	to individual domains the comparator	MODEL-FEATURE
domains the comparator software is domain-independent	software is domain-independent as cas	MODEL-FEATURE
evolved in speech and text image processing work at	work at xerox parc that expand	TOPIC
role of recognition technology in document-oriented	technology in document-oriented applications one text	PART_WHOLE
that of text processors but operate	directly on audio and scanned image data a speech	COMPARE
use of speech and text-image recognition to retrieve	information from documents with signal content this parc	USAGE
present a statistical profile of the	of the named entity task a information	MODEL-FEATURE
for which corpora in several	in several languages are available.	MODEL-FEATURE
using the results of the	of the statistical analysis we algorithm	RESULT
propose an algorithm for lower	algorithm for lower bound estimation for named	USAGE
of the cross-lingual comparisons provided by	by the analysis	TOPIC
problem of question-focused sentence retrieval from complex	from complex news articles describing multi-event	USAGE
understanding each story in our	in our corpus because stories	PART_WHOLE
judges found sentences providing an	providing an answer to each	PART_WHOLE
address the sentence retrieval problem we stochastic,	apply a stochastic, graph-based method for comparing	USAGE
of our method and hypothesize	a competitive baseline which similarity	COMPARE
compares the similarity of each	of each sentence to the	MODEL-FEATURE
experiments, the method achieves a	achieves a trdr score that is	RESULT
a model is presented	characterize the class of languages obtained by	MODEL-FEATURE
by adding reduplication to context-free	reduplication to context-free languages the model	PART_WHOLE
is a pushdown automaton augmented with	using the stack in a	USAGE
sort of reduplications that have	occur in natural languages but constructions	PART_WHOLE
problem of quantifying noun groups in german	groups in german after corpus-based	PART_WHOLE
other than grammar sensu stricto into the	into the treebank we annotation	MODEL-FEATURE
and fine-grained annotation in the	in the tree-bank would have	PART_WHOLE
make the treebank more valuable	data for theoretical linguistic investigations the corpus	USAGE
parsing and extraction tool for german	tool for german text corpora	USAGE
metagrammatical formalisms that combine	that combine context-free phrase structure rules and metarules	PART_WHOLE
about the syntax of natural	syntax of natural languages unconstrained mps	PART_WHOLE
present a formalization of the	to modeling attentional structure in discourse and use	MODEL-FEATURE
for an algorithm to track	to track discourse context and bind	USAGE
in an hpsg natural language system which serves	to a database query application	USAGE
theories while hpsg has a	more elaborated principle-based theory of possible	PART_WHOLE
phrase structures tag provides the	to represent lexicalized structures more explicitly.	USAGE
determine the projection of structures from the	from the lexicon and maximal	PART_WHOLE
showed that boolean matrix multiplication (bmm) can be	used for cfg parsing we cfg	USAGE
dual result: cfg parsers running in	running in time o(|g||w|3-e) on a	MODEL-FEATURE
provide a formal definition of parsing	definition of parsing motivated by	MODEL-FEATURE
fast, practical cfg parser would yield	fast, practical bmm algorithm which	RESULT
paper introduces primitive optimality theory (otp) a ot	formalization of ot otp specifies	MODEL-FEATURE
less restricted theories using generalized	theories using generalized alignment otp 's	USAGE
's optimal surface forms can be	generated with finite-state methods adapted from	USAGE
unfortunately these methods take time	methods take time exponential on the size of the grammar indeed generation	MODEL-FEATURE
indeed the generation problem is shown	is shown np-complete in this	MODEL-FEATURE
automata where regular languages are represented	compactly via formal intersections of fsas	MODEL-FEATURE
of 20 wall street journal articles from the	from the penn treebank corpus and our	PART_WHOLE
to verify hardware designs by model	designs by model checking circuit specifications	USAGE
model checking circuit specifications are commonly	in the temporal logic ctl automatic conversion	MODEL-FEATURE
an appropriately restricted subset of english	subset of english we semantic	PART_WHOLE
the limited semantic expressibility of ctl	expressibility of ctl can be	MODEL-FEATURE
take existing computational semantic analyses of english	analyses of english as their	TOPIC
that all sentences in the	in the subset possess a	PART_WHOLE
present an unlexicalized parser for german	parser for german which employs	USAGE
smoothing and suffix analysis to achieve	achieve a labelled bracket f-score of 76.2,	RESULT
use of smoothing in an	in an unlexicalized parser allows us	USAGE
proposes an alignment adaptation approach to improve	to improve domain-specific (in-domain) word alignment the alignment	USAGE
to use out-of-domain corpus to improve	to improve in-domain word alignment results. in	USAGE
the large-scale out-of-domain corpus and the	the small-scale in-domain corpus respectively, and	COMPARE
approach improves domain-specific word alignment in terms	achieving a relative error rate reduction of 6.56%	RESULT
a concise, modular architecture with reversible	processes of understanding and generation	PART_WHOLE
with the interpretation of conceptual	interpretation of conceptual operations underlying the	MODEL-FEATURE
reduced to functions of a	of a formal language thus si-nets	PART_WHOLE
to the conceptual system of nl	system of nl for kl-one	MODEL-FEATURE
version of kl-one which represents	represents the epistemological level while kl-conc	MODEL-FEATURE
experimental language, kl-conc represents conceptual	represents the conceptual level kl-conc si-nets	MODEL-FEATURE
the verb forms are often	kinds of information : 1.	MODEL-FEATURE
whether the event described in	in a sentence is present	PART_WHOLE
whether the event described in	in a sentence is presented	PART_WHOLE
analysis of verb form meanings namely habituality	they express habituality the model-theoretic	MODEL-FEATURE
for expressing relations between representations	relations between representations in the	MODEL-FEATURE
desirable. a declarative formalism is presented	permits direct mappings of one	USAGE
analysis of ellipsis resolution in terms	a straightforward discourse copying algorithm that correctly	MODEL-FEATURE
distinction between full nps and the	and the referential elements that corefer	COMPARE
the correct predictions for several	examples of ellipsis naturally result.	MODEL-FEATURE
dividing sentences in chunks	sentences in chunks of words is a	PART_WHOLE
"a ""convenient"" data representation for chunking"	representation for chunking by converting	USAGE
seven different data representations for the	of recognizing noun phrase chunks we data	MODEL-FEATURE
that the data representation choice has a	influence on chunking performance however, data	RESULT
representation our memory-based learning chunker was able	best published chunking results for a	RESULT
approaches to part-of-speech tagging statistical and	part-of-speech tagging statistical and constraint-based disambiguation using french	USAGE
disambiguation using french as our	as our test language we constraint	USAGE
of our constraint system was about	the easy-to-implement statistical model we accuracy	COMPARE
of the statistical method is reasonably	comparable to taggers for english	COMPARE
build robust automatic abstracting systems there training	for better training resources than are	USAGE
introduce an annotation scheme for scientific	such a resource in a	USAGE
of the subcategorization frames in which	which each verb occurs. the	MODEL-FEATURE
of each verb in the	in the training corpus false positive	PART_WHOLE
repositories of lexical conceptual structure (lcs) representations for verbs	representations for verbs in multiple	MODEL-FEATURE
classification and thematic grid tagging and lcs	and outputs lcs representations for different	USAGE
languages these representations have been	ported into english, arabic and spanish lexicons each verbs	USAGE
using these lexicons in an	in an operational foreign language tutoring and machine	USAGE
of an algorithm for translation lexicon acquisition (sable) used corpus	acquire general translation lexicons when algorithm	USAGE
when that algorithm is applied	candidates for domain-specific translation lexicons	USAGE
basis of coordinations of the	that involve strictly syntactic cross-serial agreement the agreement	MODEL-FEATURE
question involves number in nouns	number in nouns and reflexive	MODEL-FEATURE
nature because grammatical number in english	number in english like grammatical	PART_WHOLE
english like grammatical gender in languages	such as french is interchange	PART_WHOLE
even if english is presumed	to contain grammatical sentences in which	PART_WHOLE
pair of coordinate phrases one of	has fewer conjuncts than the	PART_WHOLE
be regarding constructions with unequal	numbers of conjuncts in the	PART_WHOLE
examined a class-oriented framework for collecting	for collecting paraphrase examples in sentential	USAGE
in which sentential paraphrases are collected	for each paraphrase class separately by	PART_WHOLE
a flexible parser can deal	from its grammar in parser	PART_WHOLE
by a construction-specific approach to flexible	approach to flexible parsing with specialized	USAGE
parsing with specialized parsing techniques for each	type of construction and ambiguity	USAGE
and specialized ambiguity representations for each	type of ambiguity that a	MODEL-FEATURE
to. a construction-specific approach also aids	aids in task-specific language development by allowing	USAGE
5, 8], plume's approach to parsing is based	based on semantic caseframe instantiation this efficiency	USAGE
input while plume is well	to patchy syntactic coverage this plume	RESULT
languages differ in	they have words and grammatical	PART_WHOLE
approximating the meaning of a	of a source language text rather than	MODEL-FEATURE
propose a translation framework based on	based on situation theory the information	USAGE
lattice a representation scheme for utterances	scheme for utterances embedded in	MODEL-FEATURE
and a mismatch resolution scheme defined in	terms of information flow we translation	MODEL-FEATURE
examples of translation between english	translation between english and japanese	USAGE
large-scale natural language generation requires the	amounts of knowledge : lexical,	USAGE
conceptual. a robust generator must be	pieces of knowledge are missing.	USAGE
built a hybrid generator in symbolic	filled by statistical methods we hybrid	USAGE
simplify current generators and enhance	enhance their portability even knowledge	MODEL-FEATURE
terms across languages with different	with different alphabets and sound	MODEL-FEATURE
computer in english comes out	(konpyuutaa) in japanese translating japanese	COMPARE
for performing backwards transliterations by machine	transliterations by machine this generative	USAGE
uses a generative model incorporating transliteration	in the transliteration process	USAGE
such as speech processing in which	is important finite-state models are often	USAGE
derive a finite-state approximation which can	to guide speech recognition or to	USAGE
present a statistical model of japanese	model of japanese unknown words consisting of	MODEL-FEATURE
by the character types that constitute	constitute a word the character	PART_WHOLE
important because japanese script has both	has both ideograms like chinese	PART_WHOLE
discusses a decision-tree approach to the	of assigning probabilities to words	USAGE
probabilities to words following a	a given text in decision-tree	PART_WHOLE
describes a full scale two-level morphological description (karttunen, 1983;	1983) of turkish word structures the pc-kimmo	MODEL-FEATURE
on a root word lexicon of about	about 23,000 roots words almost phonological	PART_WHOLE
been implemented. turkish is an	is an agglutinative language with word	MODEL-FEATURE
constructs the surface realizations of morphological	realizations of morphological constructions are constrained	MODEL-FEATURE
of different text applications to use	set of common text processing modules since user	USAGE
no particular user interface styles or conventions are described	in the tipster architecture specification however, computing	TOPIC
constructed several tipster applications that use	of configurable graphical user interface (gui) functions these guis	USAGE
functions these guis were constructed	constructed using crl's tipster user interface toolkit (tuit) tuit is	USAGE
is a software library that can	to construct multilingual tipster user interfaces for a	USAGE
what extent deep processing may benefit	benefit from shallow techniques and it	USAGE
presents a nlp system which integrates	integrates a linguistic pos tagger and chunker as a	PART_WHOLE
also provides robustness to the	to the linguistic processing while maintaining	MODEL-FEATURE
and the precision of the	of the grammar	RESULT
a state-of-the-art statistical parser (bikel, 2004)	in parsing written and spoken language and in	USAGE
language although bikel's parser achieves a	a higher accuracy for parsing	RESULT
technology for extracting subcategorization frames initially designed	designed for written texts works equally	USAGE
utility of punctuation in helping	in helping parsing and extraction	USAGE
and extracting subcategorization cues from spoken	cues from spoken language this punctuation	PART_WHOLE
to add punctuation in transcribing	in transcribing spoken corpora simply in	PART_WHOLE
describes a characters-based chinese collocation system and discusses	a traditional word-based system since wordbreaks	COMPARE
system since wordbreaks are not	marked in chinese text corpora a character-based	PART_WHOLE
information furthermore, word-based collocational properties can be	module of automatic segmentation	USAGE
an efficient bit-vector-based cky-style parser for context-free	parser for context-free parsing is presented.	USAGE
a compact parse forest representation of the	of possible analyses for large treebank grammars and long	MODEL-FEATURE
sentences the parser uses bit-vector	parser uses bit-vector operations to parallelise	USAGE
both a language model for answers	model for answers and a	USAGE
and a transformation model for answer/question	model for answer/question terms trained corpus	USAGE
on a corpus of 1	1 million question/answer pairs collected from	PART_WHOLE
many current information extraction techniques is severely	need for supervised training data we field	USAGE
for certain field structured extraction tasks such prior	amounts of prior knowledge can be	USAGE
a suitable generative model for field	model for field structured text general unsupervised	MODEL-FEATURE
found that unsupervised methods can attain	can attain accuracies with 400	RESULT
and that semi-supervised methods can make	amounts of labeled data	USAGE
on accurate semantic role labeling previous independent	largely used independent classifiers possibly label	USAGE
with strong dependencies between arguments	dependencies between arguments we joint	MODEL-FEATURE
build a joint model of argument	model of argument frames incorporating features	MODEL-FEATURE
incorporating novel features that model	interactions into discriminative log-linear models this error	PART_WHOLE
classifier for gold-standard parse trees on propbank	trees on propbank	PART_WHOLE
of reading texts (from a	(from a target corpus ) that	PART_WHOLE
a specialized vocabulary for an	as the target vocabulary and used	USAGE
and used english wikipedia a target	as the target corpus the target	USAGE
described: the syntactic analyzer based procedural	on a procedural systemic grammar the semantic	USAGE
grammar the semantic analyzer relying on	on the conceptual dependency theory and dictionary	USAGE
deal with french tenses in the	framework of discourse representation theory is presented,	MODEL-FEATURE
express the meaning of the	of the tenses the reichenbachian	MODEL-FEATURE
to the meaning of the	of the text is understood	MODEL-FEATURE
of the events of a	of a sentence in the	PART_WHOLE
in the event structure of the	the preceeding text thereby system	MODEL-FEATURE
by the temporal adverbials of the	of the sentence being processed	PART_WHOLE
the exact meaning of the	of the tenses is fixed	MODEL-FEATURE
by the resolution component and not	process of syntactic analysis	COMPARE
introducing these languages is to	for formalising grammatical frameworks perspicuously, and	MODEL-FEATURE
ideas of gpsg can be	captured in lt (lf) in modal	COMPARE
benefits of tree adjoining grammars is that	have an extended domain of locality (edol) we feature	MODEL-FEATURE
need for feature structure unification during parsing	unification during parsing we lexicalized	USAGE
of english lexsys and xtag	lexsys and xtag finding grammars	COMPARE
the two grammars exploit edol	grammars exploit edol in different	USAGE
account of sentence-level and text-level anaphora within the	of a dependency-based grammar model criteria anaphora	MODEL-FEATURE
those for text-level anaphora incorporate an	of a grosz-sidner-style focus model	MODEL-FEATURE
use of heuristic rules whose development	requires intense knowledge engineering our speech	USAGE
features and decision strategies are discovered	body of speech data this	USAGE
method of sense resolution is proposed	based on wordnet an lexical	USAGE
an on-line lexical database that incorporates	that incorporates semantic relations ( synonymy	PART_WHOLE
senses with wordnet it semantically	sets of semantically related words a sense	PART_WHOLE
used for sense resolution during text	resolution during text processing as word	PART_WHOLE
when a word with multiple	with multiple senses is encountered,	MODEL-FEATURE
a large textual corpus will then	for these derived strings ; and	PART_WHOLE
to the derived string that is	in the corpus or, context	PART_WHOLE
(2) the context of the	of the polysemous word will be	MODEL-FEATURE
; all words found to	in that context will be	MODEL-FEATURE
be noted; wordnet will then	estimate the semantic distance from those	USAGE
to other words occurring in	the same context if successful,	MODEL-FEATURE
how the morphological component of an	an existing nlp-system for dutch (dutch medical language processor - dmlp) has been	PART_WHOLE
with the language independent modules of the	of the lsp-mlp system (linguistic string project - medical language processor) of the	PART_WHOLE
focusing on idiosyncrasies for dutch	idiosyncrasies for dutch this patient	PART_WHOLE
constructing a subcategorization dictionary from textual	dictionary from textual corpora each dictionary	USAGE
encodes the relative frequency of occurrence of a	set of subcategorization classes for english	MODEL-FEATURE
of 14 verbs which exhibit	which exhibit multiple complementation patterns demonstrates accuracy	MODEL-FEATURE
that a subcategorization dictionary built with	improves the accuracy of a	RESULT
shows how dictionary word sense definitions can be	hierarchy of phrasal patterns an definitions	USAGE
for processing definitions from the	from the longman dictionary of contemporary english a dictionary	PART_WHOLE
uses a restricted vocabulary in its	in its word sense definitions the classification	USAGE
of new word senses in terms	of the senses of words	MODEL-FEATURE
senses of words in the	in the restricted vocabulary examples phrasal	PART_WHOLE
of the definitions are produced	relatively robust analysis mechanism thus robustness	TOPIC
addresses two robustness problems faced by	current experimental natural language processing systems : coping	MODEL-FEATURE
presents an evaluation method employing a	employing a latent variable model for paraphrases	USAGE
model for paraphrases with their	with their contexts we context	MODEL-FEATURE
that the context of a	of a sentence is indicated	MODEL-FEATURE
by a latent variable of the	of the model as a	PART_WHOLE
that the likelihood of each	of each variable can be	MODEL-FEATURE
whether its sentences are used	the same context experimental accuracy	MODEL-FEATURE
bound of accuracy of 77%	using only topic information	RESULT
proposed, allowing non-terminals to consist	sequences of category labels and schematic	PART_WHOLE
strongly adequate grammar for crossed	grammar for crossed serial dependencies as dutch	USAGE
an existing parsing method for gpsg	method for gpsg	USAGE
